window_end_time,recon_error,failure_window,top_sensors,fault_type
2020-06-01 01:50:10,1.7614744,0,"DV_pressure, Towers, Oil_temperature",Pressure Fault
2020-06-01 01:51:00,1.7026451,0,"DV_pressure, Towers, Oil_temperature",Pressure Fault
2020-06-01 01:51:50,1.718029,0,"DV_pressure, Towers, H1",Pressure Fault
2020-06-01 01:52:40,1.7233726,0,"DV_pressure, Towers, H1",Pressure Fault
2020-06-01 01:53:30,1.7256938,0,"DV_pressure, Towers, H1",Pressure Fault
2020-06-01 01:54:20,1.7267431,0,"DV_pressure, Towers, H1",Pressure Fault
2020-06-01 01:55:10,1.7242463,0,"DV_pressure, Towers, H1",Pressure Fault
2020-06-01 01:56:00,1.7200013,0,"DV_pressure, Towers, H1",Pressure Fault
2020-06-01 01:56:50,1.7170727,0,"DV_pressure, Towers, H1",Pressure Fault
2020-06-01 01:57:40,1.7378529,0,"DV_pressure, Towers, Motor_current",Pressure Fault
2020-06-01 01:58:30,1.698566,0,"DV_pressure, Towers, Motor_current",Pressure Fault
2020-06-01 01:59:20,1.6604222,0,"DV_pressure, Towers, Oil_temperature",Pressure Fault
2020-06-01 14:15:10,1.0522356,0,"TP2, H1, TP3",Pressure Fault
2020-06-01 14:51:00,2.2257183,0,"DV_pressure, H1, TP2",Pressure Fault
2020-06-01 14:51:50,1.9678807,0,"DV_pressure, TP2, H1",Pressure Fault
2020-06-01 14:52:40,2.4280403,0,"DV_pressure, Pressure_switch, H1",Pressure Fault
2020-06-01 14:53:30,2.7574248,0,"DV_pressure, Motor_current, Pressure_switch",Pressure Fault
2020-06-01 14:54:20,3.0858488,0,"DV_pressure, Oil_temperature, Motor_current",Thermal Fault
2020-06-01 14:55:10,3.123906,0,"DV_pressure, Oil_temperature, Motor_current",Thermal Fault
2020-06-01 14:56:00,2.8250237,0,"DV_pressure, Oil_temperature, Motor_current",Thermal Fault
2020-06-01 14:56:50,2.4688349,0,"DV_pressure, Oil_temperature, Towers",Pressure Fault
2020-06-01 14:57:40,2.4399247,0,"DV_pressure, Oil_temperature, Towers",Pressure Fault
2020-06-01 14:58:30,2.3925982,0,"DV_pressure, Oil_temperature, Towers",Pressure Fault
2020-06-01 14:59:20,2.2484894,0,"DV_pressure, Towers, Pressure_switch",Digital Fault
2020-06-01 15:00:10,2.2610877,0,"DV_pressure, Towers, Pressure_switch",Digital Fault
2020-06-01 15:01:00,1.2664106,0,"DV_pressure, Towers, Pressure_switch",Digital Fault
2020-06-01 15:01:50,1.2942542,0,"DV_pressure, Towers, Pressure_switch",Digital Fault
2020-06-01 15:38:30,1.0734229,0,"DV_pressure, Towers, Oil_temperature",Pressure Fault
2020-06-01 15:39:20,1.4535741,0,"DV_pressure, Towers, Oil_temperature",Pressure Fault
2020-06-01 15:40:10,1.2648361,0,"DV_pressure, Towers, Oil_temperature",Pressure Fault
2020-06-01 15:41:00,1.1940936,0,"DV_pressure, Oil_temperature, Towers",Pressure Fault
2020-06-01 15:41:50,1.0770853,0,"DV_pressure, Oil_temperature, Towers",Pressure Fault
2020-06-01 16:45:10,1.6646932,0,"DV_pressure, Pressure_switch, TP2",Pressure Fault
2020-06-01 16:46:00,1.3533183,0,"DV_pressure, Motor_current, Pressure_switch",Pressure Fault
2020-06-01 16:46:50,1.4377036,0,"DV_pressure, Motor_current, Oil_temperature",Thermal Fault
2020-06-01 16:47:40,1.533233,0,"DV_pressure, Motor_current, Oil_temperature",Thermal Fault
2020-06-01 16:48:30,1.4811517,0,"DV_pressure, Motor_current, Oil_temperature",Thermal Fault
2020-06-01 16:49:20,1.4083534,0,"DV_pressure, Motor_current, Oil_temperature",Thermal Fault
2020-06-01 16:50:10,1.351588,0,"DV_pressure, Motor_current, Oil_temperature",Thermal Fault
2020-06-01 16:51:00,1.3856611,0,"DV_pressure, Pressure_switch, Oil_temperature",Pressure Fault
2020-06-01 16:51:50,1.3405857,0,"DV_pressure, Pressure_switch, Oil_temperature",Pressure Fault
2020-06-01 16:52:40,1.192132,0,"DV_pressure, Pressure_switch, Towers",Digital Fault
2020-06-01 16:53:30,1.1997685,0,"DV_pressure, Pressure_switch, Towers",Digital Fault
2020-06-01 16:54:20,1.1204579,0,"DV_pressure, Pressure_switch, Oil_temperature",Pressure Fault
2020-06-01 17:22:40,1.208673,0,"DV_pressure, TP2, H1",Pressure Fault
2020-06-01 17:23:30,1.1801136,0,"DV_pressure, Motor_current, Oil_temperature",Thermal Fault
2020-06-01 17:24:20,1.1914067,0,"DV_pressure, Motor_current, Oil_temperature",Thermal Fault
2020-06-01 17:25:10,1.1648141,0,"DV_pressure, Motor_current, Oil_temperature",Thermal Fault
2020-06-01 17:26:00,1.1204299,0,"DV_pressure, Motor_current, Oil_temperature",Thermal Fault
2020-06-01 17:26:50,1.0783671,0,"DV_pressure, Oil_temperature, Motor_current",Thermal Fault
2020-06-01 18:54:20,1.4195253,0,"DV_pressure, Pressure_switch, Towers",Digital Fault
2020-06-01 18:55:10,1.4288396,0,"DV_pressure, Pressure_switch, Towers",Digital Fault
2020-06-01 18:56:00,1.4229754,0,"DV_pressure, Pressure_switch, Towers",Digital Fault
2020-06-01 18:56:50,1.423335,0,"DV_pressure, Pressure_switch, Towers",Digital Fault
2020-06-01 18:57:40,1.4236312,0,"DV_pressure, Pressure_switch, Towers",Digital Fault
2020-06-01 18:58:30,1.4208821,0,"DV_pressure, Pressure_switch, Towers",Digital Fault
2020-06-01 18:59:20,1.4533532,0,"DV_pressure, Pressure_switch, Towers",Digital Fault
2020-06-01 19:00:10,1.573698,0,"DV_pressure, Pressure_switch, Towers",Digital Fault
2020-06-01 19:01:00,1.602602,0,"DV_pressure, Pressure_switch, Towers",Digital Fault
2020-06-01 19:01:50,1.8337251,0,"DV_pressure, H1, TP2",Pressure Fault
2020-06-01 19:02:40,2.0883706,0,"DV_pressure, H1, TP2",Pressure Fault
2020-06-01 19:03:30,1.6219966,0,"DV_pressure, Pressure_switch, Towers",Digital Fault
2020-06-02 19:07:20,1.0906168,0,"TP2, Motor_current, TP3",Pressure Fault
2020-06-02 19:08:10,1.3233819,0,"TP2, Motor_current, TP3",Pressure Fault
2020-06-02 19:09:00,1.2962037,0,"TP2, Motor_current, Oil_temperature",Thermal Fault
2020-06-02 19:09:50,1.4781144,0,"TP2, Motor_current, Oil_temperature",Thermal Fault
2020-06-02 19:10:40,1.8073177,0,"TP2, Motor_current, Oil_temperature",Thermal Fault
2020-06-02 19:11:30,2.028523,0,"TP2, Motor_current, Oil_temperature",Thermal Fault
2020-06-02 19:12:20,2.1795366,0,"TP2, Motor_current, Oil_temperature",Thermal Fault
2020-06-02 19:13:10,2.2336624,0,"TP2, Motor_current, Oil_temperature",Thermal Fault
2020-06-02 19:14:00,2.3975525,0,"TP2, Motor_current, Oil_temperature",Thermal Fault
2020-06-02 19:14:50,2.771661,0,"Oil_temperature, TP2, Motor_current",Thermal Fault
2020-06-02 19:15:40,2.7912729,0,"Oil_temperature, TP2, Motor_current",Thermal Fault
2020-06-02 19:16:30,2.653917,0,"Oil_temperature, TP2, Motor_current",Thermal Fault
2020-06-02 19:17:20,2.6814415,0,"Oil_temperature, TP2, Motor_current",Thermal Fault
2020-06-02 19:18:10,2.5644288,0,"Oil_temperature, TP2, Motor_current",Thermal Fault
2020-06-02 19:19:00,2.55556,0,"Oil_temperature, TP2, Motor_current",Thermal Fault
2020-06-02 19:19:50,2.5414662,0,"TP2, Oil_temperature, Motor_current",Thermal Fault
2020-06-02 19:20:40,2.4574747,0,"TP2, Oil_temperature, Motor_current",Thermal Fault
2020-06-02 19:21:30,2.4875796,0,"TP2, Oil_temperature, Motor_current",Thermal Fault
2020-06-02 19:22:20,2.3976119,0,"TP2, Oil_temperature, Motor_current",Thermal Fault
